name                              | abbrev | utc_offset | is_dst
 America/North_Dakota/New_Salem   | CDT    | -05:00:00  | t
 America/North_Dakota/Center      | CDT    | -05:00:00  | t
 America/North_Dakota/Beulah      | CDT    | -05:00:00  | t
 America/Glace_Bay                | ADT    | -03:00:00  | t
 America/Montserrat               | AST    | -04:00:00  | f
 America/Toronto                  | EDT    | -04:00:00  | t
 America/Panama                   | EST    | -05:00:00  | f
 America/Cordoba                  | -03    | -03:00:00  | f
 America/Louisville               | EDT    | -04:00:00  | t
 America/Ensenada                 | PDT    | -07:00:00  | t
 America/Shiprock                 | MDT    | -06:00:00  | t
 America/Ojinaga                  | MDT    | -06:00:00  | t
 America/Thule                    | ADT    | -03:00:00  | t
 America/Caracas                  | -04    | -04:00:00  | f
 America/Araguaina                | -03    | -03:00:00  | f
 America/Cambridge_Bay            | MDT    | -06:00:00  | t
 America/Winnipeg                 | CDT    | -05:00:00  | t
 America/Grand_Turk               | EDT    | -04:00:00  | t
 America/Virgin                   | AST    | -04:00:00  | f
 America/Anchorage                | AKDT   | -08:00:00  | t
 America/Costa_Rica               | CST    | -06:00:00  | f
 America/Nome                     | AKDT   | -08:00:00  | t
 America/Grenada                  | AST    | -04:00:00  | f
 America/St_Johns                 | NDT    | -02:30:00  | t
 America/Atka                     | HDT    | -09:00:00  | t
 America/Asuncion                 | -03    | -03:00:00  | t
 America/Hermosillo               | MST    | -07:00:00  | f
 America/Tijuana                  | PDT    | -07:00:00  | t
 America/Marigot                  | AST    | -04:00:00  | f
 America/Juneau                   | AKDT   | -08:00:00  | t
 America/Montevideo               | -03    | -03:00:00  | f
 America/Godthab                  | -03    | -03:00:00  | f
 America/Guadeloupe               | AST    | -04:00:00  | f
 America/Maceio                   | -03    | -03:00:00  | f
 America/Pangnirtung              | EDT    | -04:00:00  | t
 America/St_Kitts                 | AST    | -04:00:00  | f
 America/Barbados                 | AST    | -04:00:00  | f
 America/Iqaluit                  | EDT    | -04:00:00  | t
 America/Menominee                | CDT    | -05:00:00  | t
 America/Martinique               | AST    | -04:00:00  | f
 America/Mexico_City              | CST    | -06:00:00  | f
 America/Swift_Current            | CST    | -06:00:00  | f
 America/Miquelon                 | -02    | -02:00:00  | t
 America/Curacao                  | AST    | -04:00:00  | f
 America/Dawson_Creek             | MST    | -07:00:00  | f
 America/Mendoza                  | -03    | -03:00:00  | f
 America/Adak                     | HDT    | -09:00:00  | t
 America/Thunder_Bay              | EDT    | -04:00:00  | t
 America/Aruba                    | AST    | -04:00:00  | f
 America/Fort_Nelson              | MST    | -07:00:00  | f
 America/Sitka                    | AKDT   | -08:00:00  | t
 America/Anguilla                 | AST    | -04:00:00  | f
 America/Danmarkshavn             | GMT    | 00:00:00   | f
 Australia/Melbourne              | AEDT   | 11:00:00   | t
 Australia/Queensland             | AEST   | 10:00:00   | f
 Australia/North                  | ACST   | 09:30:00   | f
 Australia/Lord_Howe              | +11    | 11:00:00   | t
 Australia/Adelaide               | ACDT   | 10:30:00   | t
 Australia/Yancowinna             | ACDT   | 10:30:00   | t
 Australia/Victoria               | AEDT   | 11:00:00   | t
 Australia/Canberra               | AEDT   | 11:00:00   | t
 Australia/Sydney                 | AEDT   | 11:00:00   | t
 Australia/ACT                    | AEDT   | 11:00:00   | t
 Australia/Eucla                  | +0845  | 08:45:00   | f
 Australia/Brisbane               | AEST   | 10:00:00   | f
 Australia/Tasmania               | AEDT   | 11:00:00   | t
 Australia/Hobart                 | AEDT   | 11:00:00   | t
 Australia/Perth                  | AWST   | 08:00:00   | f
 Australia/South                  | ACDT   | 10:30:00   | t
 Australia/Lindeman               | AEST   | 10:00:00   | f
 Australia/Darwin                 | ACST   | 09:30:00   | f
 Australia/West                   | AWST   | 08:00:00   | f
 Australia/LHI                    | +11    | 11:00:00   | t
 Australia/NSW                    | AEDT   | 11:00:00   | t
 Australia/Broken_Hill            | ACDT   | 10:30:00   | t
 Australia/Currie                 | AEDT   | 11:00:00   | t
 Etc/GMT-10                       | +10    | 10:00:00   | f
 Etc/GMT+12                       | -12    | -12:00:00  | f
 Etc/GMT-11                       | +11    | 11:00:00   | f
 Etc/Universal                    | UTC    | 00:00:00   | f
 Etc/Greenwich                    | GMT    | 00:00:00   | f
 Etc/GMT-6                        | +06    | 06:00:00   | f
 Etc/GMT-1                        | +01    | 01:00:00   | f
 Etc/GMT-8                        | +08    | 08:00:00   | f
 Etc/GMT+4                        | -04    | -04:00:00  | f
 Etc/GMT+3                        | -03    | -03:00:00  | f
 Etc/GMT-9                        | +09    | 09:00:00   | f
 Etc/GMT-0                        | GMT    | 00:00:00   | f
